Preis,Erfrischend,Köstlich,Gesund,Bitter,Leicht,Knackig,Exotisch,Süss,Fruchtig,PersonID,Geschmack
3,3,5,4,1,2,3,1,3,4,1,Vollmilch
6,6,5,2,2,5,2,1,6,7,3,Vollmilch
2,3,3,3,2,3,5,1,3,2,4,Vollmilch
4,3,3,4,4,3,5,2,4,4,7,Vollmilch
7,5,5,7,3,6,5,1,5,5,11,Vollmilch
5,4,5,2,5,4,3,7,7,3,12,Vollmilch
6,5,6,5,6,5,6,5,6,5,16,Vollmilch
3,3,3,4,3,2,3,1,3,3,18,Vollmilch
7,6,6,2,3,7,5,1,6,3,2,Espresso
3,4,4,4,2,5,5,1,4,4,4,Espresso
7,1,4,5,1,4,1,1,3,5,7,Espresso
7,7,3,7,1,3,1,1,4,5,8,Espresso
6,5,4,3,1,2,NA,1,3,1,9,Espresso
3,3,4,3,1,4,2,3,4,2,10,Espresso
4,6,2,4,1,3,1,2,4,4,11,Espresso
4,3,4,4,4,4,4,4,4,4,12,Espresso
3,4,4,4,3,3,3,7,5,5,13,Espresso
6,3,5,4,4,4,4,3,4,4,14,Espresso
7,7,3,2,1,2,5,1,1,1,15,Espresso
5,2,3,4,4,4,5,3,3,3,16,Espresso
3,4,4,4,3,4,3,1,1,3,1,Keks
6,2,5,2,3,4,2,1,3,4,3,Keks
4,3,4,3,4,5,4,7,4,4,4,Keks
6,2,4,5,6,6,3,1,5,4,5,Keks
6,5,7,3,3,2,3,1,3,1,6,Keks
6,2,6,4,6,6,4,6,5,5,7,Keks
5,2,4,4,6,5,4,6,5,4,8,Keks
6,5,6,4,6,6,4,5,4,4,9,Keks
3,4,6,2,6,4,6,7,2,4,10,Keks
7,7,4,NA,4,6,7,1,5,1,11,Keks
2,2,5,4,3,5,3,1,4,5,12,Keks
6,5,4,1,1,3,4,1,3,3,13,Keks
5,3,4,4,4,3,4,1,2,2,14,Keks
5,4,4,4,4,5,4,4,4,4,15,Keks
4,6,4,4,4,4,3,1,4,4,16,Keks
7,4,6,4,5,5,5,1,3,5,17,Keks
5,5,4,3,4,3,1,1,3,3,18,Keks
4,5,4,3,4,5,5,1,3,6,2,Orange
2,2,2,2,3,2,6,6,3,2,8,Orange
3,6,3,3,7,5,4,7,4,4,10,Orange
3,7,3,1,4,6,3,7,4,5,11,Orange
7,7,7,3,7,7,7,1,6,6,13,Orange
3,5,3,2,3,3,5,7,2,4,1,Erdbeer
6,2,3,2,4,3,5,1,5,5,2,Erdbeer
4,5,4,5,5,5,5,1,3,6,3,Erdbeer
2,7,5,6,5,6,5,7,5,6,4,Erdbeer
3,7,5,6,1,7,6,7,5,6,5,Erdbeer
4,6,6,4,6,7,4,5,5,5,6,Erdbeer
6,7,5,4,2,6,6,7,6,5,7,Erdbeer
1,7,1,NA,7,7,7,7,1,7,8,Erdbeer
2,2,2,6,6,5,5,7,4,6,9,Erdbeer
2,4,4,4,4,6,4,2,4,4,10,Erdbeer
3,6,2,2,2,4,5,7,3,6,11,Erdbeer
2,4,3,5,2,5,7,2,4,4,12,Erdbeer
5,4,5,3,3,4,5,2,4,4,13,Erdbeer
1,3,3,3,1,7,5,7,7,7,14,Erdbeer
3,6,4,4,6,6,7,7,6,7,15,Erdbeer
3,7,3,1,4,6,3,7,4,5,16,Erdbeer
5,4,4,4,4,4,3,5,3,3,17,Erdbeer
7,5,6,3,6,6,4,1,5,5,18,Erdbeer
3,5,5,4,3,5,6,7,5,5,4,Mango
2,7,3,2,6,7,7,7,7,7,7,Mango
3,1,3,6,5,5,6,NA,5,4,8,Mango
2,2,2,6,6,5,5,7,4,6,10,Mango
6,4,4,4,4,4,4,NA,4,4,12,Mango
2,1,2,2,2,4,5,7,2,5,13,Mango
3,4,6,4,6,6,7,7,6,7,14,Mango
7,4,6,4,5,6,4,1,5,5,16,Mango
5,3,6,5,7,6,2,7,6,3,2,Cappuccino
3,4,3,4,2,4,5,2,4,3,6,Cappuccino
6,2,6,4,6,6,4,5,5,5,7,Cappuccino
5,3,4,4,5,5,3,1,4,4,8,Cappuccino
6,3,5,5,3,6,3,6,4,4,9,Cappuccino
6,4,5,1,5,6,6,7,3,3,12,Cappuccino
4,2,4,2,5,3,5,1,5,4,13,Cappuccino
5,3,4,3,4,3,6,1,5,4,14,Cappuccino
5,3,4,5,2,1,4,7,4,1,15,Cappuccino
5,5,5,4,5,4,6,5,4,3,16,Cappuccino
6,4,5,5,5,4,6,1,5,6,17,Cappuccino
7,5,4,5,3,5,6,1,5,3,18,Cappuccino
5,4,4,4,4,4,3,1,3,2,1,Mousse
7,6,6,3,2,6,1,1,2,3,2,Mousse
5,2,5,2,3,5,2,1,4,5,3,Mousse
7,5,4,4,3,4,4,1,5,4,4,Mousse
6,2,6,4,5,6,2,7,6,3,6,Mousse
6,4,5,6,6,5,5,1,6,3,8,Mousse
6,6,6,4,6,6,3,1,4,2,10,Mousse
6,2,6,4,6,6,4,NA,5,5,11,Mousse
7,6,2,4,3,4,3,1,4,4,12,Mousse
6,6,6,6,3,6,2,NA,4,4,13,Mousse
5,4,4,3,3,5,4,1,6,5,14,Mousse
5,4,4,5,3,4,3,1,4,3,15,Mousse
4,5,4,4,3,3,3,NA,4,3,16,Mousse
7,6,7,1,7,7,2,7,7,7,17,Mousse
7,4,2,6,1,2,3,1,5,2,1,Karamell
7,7,7,4,5,7,7,1,6,6,2,Karamell
5,2,5,2,3,2,2,1,3,4,3,Karamell
5,4,4,5,3,4,4,1,4,3,4,Karamell
6,4,4,6,7,5,6,1,5,6,5,Karamell
5,2,6,3,5,4,6,7,3,3,6,Karamell
2,2,5,4,3,5,3,1,4,5,8,Karamell
6,4,6,3,5,4,3,1,3,7,9,Karamell
5,6,5,4,5,5,NA,1,2,4,11,Karamell
5,4,4,4,4,4,4,NA,4,4,13,Karamell
4,3,4,3,3,5,3,1,3,3,17,Karamell
4,7,4,4,4,4,1,1,3,3,18,Karamell
6,5,4,4,5,4,5,1,4,4,4,Nougat
5,5,4,5,4,4,5,7,3,3,5,Nougat
5,1,4,3,6,4,5,1,4,4,7,Nougat
5,4,4,4,5,5,4,1,4,4,9,Nougat
6,NA,3,4,2,6,5,1,3,4,12,Nougat
6,5,4,4,4,3,5,1,4,1,13,Nougat
5,3,3,4,3,4,3,1,3,4,14,Nougat
4,1,4,3,1,2,3,1,3,3,15,Nougat
5,3,5,6,7,5,7,1,6,6,16,Nougat
4,4,4,4,4,4,4,1,4,4,17,Nougat
7,5,4,4,4,4,4,3,5,5,18,Nougat
4,4,4,3,2,2,3,1,2,2,1,Nuss
5,3,4,4,3,3,3,1,3,3,2,Nuss
5,3,5,4,4,3,5,1,5,4,3,Nuss
3,3,3,4,4,5,3,5,4,3,4,Nuss
5,5,5,5,4,5,3,5,4,4,6,Nuss
6,7,5,5,5,5,5,5,5,5,8,Nuss
4,3,4,3,3,3,4,1,3,4,9,Nuss
5,4,4,6,4,5,5,1,4,4,13,Nuss
3,4,4,4,4,4,4,1,4,4,17,Nuss
5,4,4,1,4,4,1,1,1,4,18,Nuss
